0,-348.14753202
1,-323.58083026
2,-423.44014879
3,-423.00535729
4,-424.24909915
5,-423.77533000
6,-423.31735666
7,-420.59025766
8,-420.37684458
9,-419.25706159
10,-412.25892219
11,-421.08774964
12,-420.86957079
13,-420.72365059
14,-420.69803671
15,-420.62786753
16,-420.57198142
17,-420.48501451
18,-420.49958276
19,-420.10110800
20,-418.15647618
21,-420.42116367
22,-420.43525157
23,-420.44870526
24,-420.44600494
25,-420.44900868
26,-420.44148242
27,-420.44228658
28,-420.43914038
29,-420.33363352
30,-419.93212888
31,-420.40774328
32,-420.40932414
33,-420.40708449
34,-420.40639685
35,-420.40693967
36,-420.40727320
37,-420.40719050
38,-420.40862637
39,-420.40195947
40,-420.40566068
41,-420.40567833
42,-420.40602813
43,-420.40608294
44,-420.40608615
45,-420.40608778
46,-420.40608511
47,-420.40609072
48,-420.40609089
